PassengerId;Survived;Pclass
1;0;3
2;1;1
3;1;3
4;1;1
5;0;3
6;0;3
7;0;1
8;0;3
9;1;3
10;1;2
11;1;3
12;1;1
13;0;3
14;0;3
15;0;3
16;1;2
17;0;3
18;1;2
19;0;3
20;1;3
21;0;2
22;1;2
23;1;3
24;1;1
25;0;3
26;1;3
27;0;3
28;0;1
29;1;3
30;0;3
31;0;1
32;1;1
33;1;3
34;0;2
35;0;1
36;0;1
37;1;3
38;0;3
39;0;3
40;1;3
41;0;3
42;0;2
43;0;3
44;1;2
45;1;3
46;0;3
47;0;3
48;1;3
49;0;3
50;0;3
51;0;3
52;0;3
53;1;1
54;1;2
55;0;1
56;1;1
57;1;2
58;0;3
59;1;2
60;0;3
61;0;3
62;1;1
63;0;1
64;0;3
65;0;1
66;1;3
67;1;2
68;0;3
69;1;3
70;0;3
71;0;2
72;0;3
73;0;2
74;0;3
75;1;3
76;0;3
77;0;3
78;0;3
79;1;2
80;1;3
81;0;3
82;1;3
83;1;3
84;0;1
85;1;2
86;1;3
87;0;3
88;0;3
89;1;1
90;0;3
91;0;3
92;0;3
93;0;1
94;0;3
95;0;3
96;0;3
97;0;1
98;1;1
99;1;2
100;0;2
101;0;3
102;0;3
103;0;1
104;0;3
105;0;3
106;0;3
107;1;3
108;1;3
109;0;3
110;1;3
111;0;1
112;0;3
113;0;3
114;0;3
115;0;3
116;0;3
117;0;3
118;0;2
119;0;1
120;0;3
121;0;2
122;0;3
123;0;2
124;1;2
125;0;1
126;1;3
127;0;3
128;1;3
129;1;3
130;0;3
131;0;3
132;0;3
133;0;3
134;1;2
135;0;2
136;0;2
137;1;1
138;0;1
139;0;3
140;0;1
141;0;3
142;1;3
143;1;3
144;0;3
145;0;2
146;0;2
147;1;3
148;0;3
149;0;2
150;0;2
151;0;2
152;1;1
153;0;3
154;0;3
155;0;3
156;0;1
157;1;3
158;0;3
159;0;3
160;0;3
161;0;3
162;1;2
163;0;3
164;0;3
165;0;3
166;1;3
167;1;1
168;0;3
169;0;1
170;0;3
171;0;1
172;0;3
173;1;3
174;0;3
175;0;1
176;0;3
177;0;3
178;0;1
179;0;2
180;0;3
181;0;3
182;0;2
183;0;3
184;1;2
185;1;3
186;0;1
187;1;3
188;1;1
189;0;3
190;0;3
191;1;2
192;0;2
193;1;3
194;1;2
195;1;1
196;1;1
197;0;3
198;0;3
199;1;3
200;0;2
201;0;3
202;0;3
203;0;3
204;0;3
205;1;3
206;0;3
207;0;3
208;1;3
209;1;3
210;1;1
211;0;3
212;1;2
213;0;3
214;0;2
215;0;3
216;1;1
217;1;3
218;0;2
219;1;1
220;0;2
221;1;3
222;0;2
223;0;3
224;0;3
225;1;1
226;0;3
227;1;2
228;0;3
229;0;2
230;0;3
231;1;1
232;0;3
233;0;2
234;1;3
235;0;2
236;0;3
237;0;2
238;1;2
239;0;2
240;0;2
241;0;3
242;1;3
243;0;2
244;0;3
245;0;3
246;0;1
247;0;3
248;1;2
249;1;1
250;0;2
251;0;3
252;0;3
253;0;1
254;0;3
255;0;3
256;1;3
257;1;1
258;1;1
259;1;1
260;1;2
261;0;3
262;1;3
263;0;1
264;0;1
265;0;3
266;0;2
267;0;3
268;1;3
269;1;1
270;1;1
271;0;1
272;1;3
273;1;2
274;0;1
275;1;3
276;1;1
277;0;3
278;0;2
279;0;3
280;1;3
281;0;3
282;0;3
283;0;3
284;1;3
285;0;1
286;0;3
287;1;3
288;0;3
289;1;2
290;1;3
291;1;1
292;1;1
293;0;2
294;0;3
295;0;3
296;0;1
297;0;3
298;0;1
299;1;1
300;1;1
301;1;3
302;1;3
303;0;3
304;1;2
305;0;3
306;1;1
307;1;1
308;1;1
309;0;2
310;1;1
311;1;1
312;1;1
313;0;2
314;0;3
315;0;2
316;1;3
317;1;2
318;0;2
319;1;1
320;1;1
321;0;3
322;0;3
323;1;2
324;1;2
325;0;3
326;1;1
327;0;3
328;1;2
329;1;3
330;1;1
331;1;3
332;0;1
333;0;1
334;0;3
335;1;1
336;0;3
337;0;1
338;1;1
339;1;3
340;0;1
341;1;2
342;1;1
343;0;2
344;0;2
345;0;2
346;1;2
347;1;2
348;1;3
349;1;3
350;0;3
351;0;3
352;0;1
353;0;3
354;0;3
355;0;3
356;0;3
357;1;1
358;0;2
359;1;3
360;1;3
361;0;3
362;0;2
363;0;3
364;0;3
365;0;3
366;0;3
367;1;1
368;1;3
369;1;3
370;1;1
371;1;1
372;0;3
373;0;3
374;0;1
375;0;3
376;1;1
377;1;3
378;0;1
379;0;3
380;0;3
381;1;1
382;1;3
383;0;3
384;1;1
385;0;3
386;0;2
387;0;3
388;1;2
389;0;3
390;1;2
391;1;1
392;1;3
393;0;3
394;1;1
395;1;3
396;0;3
397;0;3
398;0;2
399;0;2
400;1;2
401;1;3
402;0;3
403;0;3
404;0;3
405;0;3
406;0;2
407;0;3
408;1;2
409;0;3
410;0;3
411;0;3
412;0;3
413;1;1
414;0;2
415;1;3
416;0;3
417;1;2
418;1;2
419;0;2
420;0;3
421;0;3
422;0;3
423;0;3
424;0;3
425;0;3
426;0;3
427;1;2
428;1;2
429;0;3
430;1;3
431;1;1
432;1;3
433;1;2
434;0;3
435;0;1
436;1;1
437;0;3
438;1;2
439;0;1
440;0;2
441;1;2
442;0;3
443;0;3
444;1;2
445;1;3
446;1;1
447;1;2
448;1;1
449;1;3
450;1;1
451;0;2
452;0;3
453;0;1
454;1;1
455;0;3
456;1;3
457;0;1
458;1;1
459;1;2
460;0;3
461;1;1
462;0;3
463;0;1
464;0;2
465;0;3
466;0;3
467;0;2
468;0;1
469;0;3
470;1;3
471;0;3
472;0;3
473;1;2
474;1;2
475;0;3
476;0;1
477;0;2
478;0;3
479;0;3
480;1;3
481;0;3
482;0;2
483;0;3
484;1;3
485;1;1
486;0;3
487;1;1
488;0;1
489;0;3
490;1;3
491;0;3
492;0;3
493;0;1
494;0;1
495;0;3
496;0;3
497;1;1
498;0;3
499;0;1
500;0;3
501;0;3
502;0;3
503;0;3
504;0;3
505;1;1
506;0;1
507;1;2
508;1;1
509;0;3
510;1;3
511;1;3
512;0;3
513;1;1
514;1;1
515;0;3
516;0;1
517;1;2
518;0;3
519;1;2
520;0;3
521;1;1
522;0;3
523;0;3
524;1;1
525;0;3
526;0;3
527;1;2
528;0;1
529;0;3
530;0;2
531;1;2
532;0;3
533;0;3
534;1;3
535;0;3
536;1;2
537;0;1
538;1;1
539;0;3
540;1;1
541;1;1
542;0;3
543;0;3
544;1;2
545;0;1
546;0;1
547;1;2
548;1;2
549;0;3
550;1;2
551;1;1
552;0;2
553;0;3
554;1;3
555;1;3
556;0;1
557;1;1
558;0;1
559;1;1
560;1;3
561;0;3
562;0;3
563;0;2
564;0;3
565;0;3
566;0;3
567;0;3
568;0;3
569;0;3
570;1;3
571;1;2
572;1;1
573;1;1
574;1;3
575;0;3
576;0;3
577;1;2
578;1;1
579;0;3
580;1;3
581;1;2
582;1;1
583;0;2
584;0;1
585;0;3
586;1;1
587;0;2
588;1;1
589;0;3
590;0;3
591;0;3
592;1;1
593;0;3
594;0;3
595;0;2
596;0;3
597;1;2
598;0;3
599;0;3
600;1;1
601;1;2
602;0;3
603;0;1
604;0;3
605;1;1
606;0;3
607;0;3
608;1;1
609;1;2
610;1;1
611;0;3
612;0;3
613;1;3
614;0;3
615;0;3
616;1;2
617;0;3
618;0;3
619;1;2
620;0;2
621;0;3
622;1;1
623;1;3
624;0;3
625;0;3
626;0;1
627;0;2
628;1;1
629;0;3
630;0;3
631;1;1
632;0;3
633;1;1
634;0;1
635;0;3
636;1;2
637;0;3
638;0;2
639;0;3
640;0;3
641;0;3
642;1;1
643;0;3
644;1;3
645;1;3
646;1;1
647;0;3
648;1;1
649;0;3
650;1;3
651;0;3
652;1;2
653;0;3
654;1;3
655;0;3
656;0;2
657;0;3
658;0;3
659;0;2
660;0;1
661;1;1
662;0;3
663;0;1
664;0;3
665;1;3
666;0;2
667;0;2
668;0;3
669;0;3
670;1;1
671;1;2
672;0;1
673;0;2
674;1;2
675;0;2
676;0;3
677;0;3
678;1;3
679;0;3
680;1;1
681;0;3
682;1;1
683;0;3
684;0;3
685;0;2
686;0;2
687;0;3
688;0;3
689;0;3
690;1;1
691;1;1
692;1;3
693;1;3
694;0;3
695;0;1
696;0;2
697;0;3
698;1;3
699;0;1
700;0;3
701;1;1
702;1;1
703;0;3
704;0;3
705;0;3
706;0;2
707;1;2
708;1;1
709;1;1
710;1;3
711;1;1
712;0;1
713;1;1
714;0;3
715;0;2
716;0;3
717;1;1
718;1;2
719;0;3
720;0;3
721;1;2
722;0;3
723;0;2
724;0;2
725;1;1
726;0;3
727;1;2
728;1;3
729;0;2
730;0;3
731;1;1
732;0;3
733;0;2
734;0;2
735;0;2
736;0;3
737;0;3
738;1;1
739;0;3
740;0;3
741;1;1
742;0;1
743;1;1
744;0;3
745;1;3
746;0;1
747;0;3
748;1;2
749;0;1
750;0;3
751;1;2
752;1;3
753;0;3
754;0;3
755;1;2
756;1;2
757;0;3
758;0;2
759;0;3
760;1;1
761;0;3
762;0;3
763;1;3
764;1;1
765;0;3
766;1;1
767;0;1
768;0;3
769;0;3
770;0;3
771;0;3
772;0;3
773;0;2
774;0;3
775;1;2
776;0;3
777;0;3
778;1;3
779;0;3
780;1;1
781;1;3
782;1;1
783;0;1
784;0;3
785;0;3
786;0;3
787;1;3
788;0;3
789;1;3
790;0;1
791;0;3
792;0;2
793;0;3
794;0;1
795;0;3
796;0;2
797;1;1
798;1;3
799;0;3
800;0;3
801;0;2
802;1;2
803;1;1
804;1;3
805;1;3
806;0;3
807;0;1
808;0;3
809;0;2
810;1;1
811;0;3
812;0;3
813;0;2
814;0;3
815;0;3
816;0;1
817;0;3
818;0;2
819;0;3
820;0;3
821;1;1
822;1;3
823;0;1
824;1;3
825;0;3
826;0;3
827;0;3
828;1;2
829;1;3
830;1;1
831;1;3
832;1;2
833;0;3
834;0;3
835;0;3
836;1;1
837;0;3
838;0;3
839;1;3
840;1;1
841;0;3
842;0;2
843;1;1
844;0;3
845;0;3
846;0;3
847;0;3
848;0;3
849;0;2
850;1;1
851;0;3
852;0;3
853;0;3
854;1;1
855;0;2
856;1;3
857;1;1
858;1;1
859;1;3
860;0;3
861;0;3
862;0;2
863;1;1
864;0;3
865;0;2
866;1;2
867;1;2
868;0;1
869;0;3
870;1;3
871;0;3
872;1;1
873;0;1
874;0;3
875;1;2
876;1;3
877;0;3
878;0;3
879;0;3
880;1;1
881;1;2
882;0;3
883;0;3
884;0;2
885;0;3
886;0;3
887;0;2
888;1;1
889;0;3
890;1;1
891;0;3
